Ano,FECHA,MES,AGENCIA,numero,ordencomp,dcliente,pproducto,tipo_medio,dmedio,bruto,INV,Grupo de Medios,INV.Dolar,,,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18
2016,feb-16,2,OGILVY,INS INSIME-022-16,24532,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV6. REPRETEL,"11,514,950","13,099,066",REPRESENTACIONES TELEVISIVAS REPRETEL S.A.,24123.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-010-16,24510,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV6. REPRETEL,"15,677,850","17,846,814",REPRESENTACIONES TELEVISIVAS REPRETEL S.A.,32866.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-021-16,24530,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV7. TELEVISORA DE CR,"861,000","972,930",TELEVISORA DE COSTA RICA S.A.,1791.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-009-16,24507,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV7. TELEVISORA DE CR,"1,312,211","1,482,799",TELEVISORA DE COSTA RICA S.A.,2730.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-009-16,24508,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV7. TELEVISORA DE CR,"1,381,275","1,560,841",TELEVISORA DE COSTA RICA S.A.,2874.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-021-16,24531,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV7. TELEVISORA DE CR,"13,574,978","15,429,091",TELEVISORA DE COSTA RICA S.A.,28414.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-009-16,24509,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV7. TELEVISORA DE CR,"16,719,098","19,059,771",TELEVISORA DE COSTA RICA S.A.,35100.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-112-16,24513,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,VALLAS Y GIGANTOGRAFIAS DE CR S.A,"598,955","598,955",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,1103.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTACOT03,30820,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,REVISTA,ACOT,"681,250","681,250",ACOT,1257.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTRADMARZO,30847,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,RADIO,CADENA MUSICAL S.A. (RADIO MUSICAL),"510,000","510,000",CADENA MUSICAL S.A.,941.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTRADMARZO,30846,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,RADIO,COLUMBIA / 98.7 FM / 760 AM,"877,500","877,500",GRUPO COLUMBIA,1619.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTREVPUNT03,30955,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EDICIONES ESPECIALES INTERNACIONAL S.A,"1,062,500","1,200,625",EDICIONES ESPECIALES INTERNACIONAL S.A,2216.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTPR05MARZ,30685,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"512,368","584,100",SOCIEDAD PERIODISTICA EXTRA LTDA,1078.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTPROGRE03,30613,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A.,"53,500","53,500",GALLILLEO AGENCIA DIGITAL S.A.,98.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTGOOGLE03,30616,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A.,"160,500","160,500",GALLILLEO AGENCIA DIGITAL S.A.,296.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTDATA03,30615,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A.,"267,500","267,500",GALLILLEO AGENCIA DIGITAL S.A.,493.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTPROGCH03,30611,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A.,"749,000","749,000",GALLILLEO AGENCIA DIGITAL S.A.,1382.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTRICHM03,30614,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A.,"2,140,000","2,140,000",GALLILLEO AGENCIA DIGITAL S.A.,3950.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTRADMARZO,30845,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,RADIO,GRUPO CENTRO,"525,000","525,000",GRUPO CENTRO,969.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTPRMARZO,30849,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,GRUPO NACION GN S.A. (NACION ).,"2,218,500","2,529,090",GRUPO NACION GN S.A.,4668.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTRADMARZO,30848,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,RADIO,GRUPO RADIOFONICO S.A (RADIO OMEGA),"780,000","780,000",GRUPO RADIOFONICO OMEGA S.A.,1439.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTPRMARZO,30850,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,REVISTA,LA VOZ DE LA PAMPA,"450,000","450,000",LA VOZ DE LA PAMPA,830.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINST00012,30843,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,CABLE,"MILLICOM CABLE COSTA RICA, S. A.","3,569,184","4,033,178","MILLICOM CABLE COSTA RICA, S. A.",7445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTREVVIDA03,30586,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,REVISTA,REVISTA VIDA Y EXITO,"540,000","610,200",NORTHERN MEDIA GROUP,1126.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINST00012,30844,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,CABLE,TELECABLE ECONOMICO TVE S.A.,"535,500","605,115",TELECABLE ECONOMICO TVE S.A.,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINST00011,30830,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,TELEVISION,TV11. REPRETEL,"5,814,000","6,627,960",REPRESENTACIONES TELEVISIVAS REPRETEL S.A.,12234.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTTV13MARZO,30851,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,TELEVISION,TV13. SISTEMA NACIONAL DE TELEVISION,"3,030,000","3,423,900",SISTEMA NACIONAL DE RADIO Y TV S.A.,6320.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINST00011,30831,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,TELEVISION,TV6. REPRETEL,"2,126,700","2,424,438",REPRESENTACIONES TELEVISIVAS REPRETEL S.A.,4475.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINST00011,30837,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,TELEVISION,TV7. TELEVISORA DE COSTA RICA,"1,513,575","1,710,340",TELEVISORA DE COSTA RICA S.A.,3157.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINST00011,30832,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,TELEVISION,TV7. TELEVISORA DE COSTA RICA,"10,201,748","11,629,992",TELEVISORA DE COSTA RICA S.A.,21468.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTREVIAJE03,30410,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,REVISTA,VIAJES,"432,000","432,000",VIAJES,797.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTNAC03,30620,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,DIGITAL,WEB LA NACION S.A. / GRUPO NACION GN S.A,"1,199,470","1,367,396",GRUPO NACION GN S.A.,2524.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,JBQ,INSTINSTNAC03,30621,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,DIGITAL,WEB LA NACION S.A. / GRUPO NACION GN S.A,"1,500,140","1,710,160",GRUPO NACION GN S.A.,3156.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTIMAGCAMCOM03,80711,INSTITUTO NACIONAL DE SEGUROS,IMAGEN,REVISTA,MERCADEO PROFESIONAL MEPRO S.A,"837,276","837,276",MERCADEO PROFESIONAL MEPRO S.A,1545.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTIMAGREVSUMM03,80706,INSTITUTO NACIONAL DE SEGUROS,IMAGEN,REVISTA,SUMMA (*) / EDITORIAL SAN JOSE,"737,892","833,818",EDITORIAL SAN JOSE S.A.,1539.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTINSTL301,80864,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"170,789","194,700",SOCIEDAD PERIODISTICA EXTRA LTDA,359.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTINSTL301,80865,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"170,789","194,700",SOCIEDAD PERIODISTICA EXTRA LTDA,359.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTINSTL303,80866,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,GRUPO NACION GN S.A. (NACION ).,"251,350","286,539",GRUPO NACION GN S.A.,528.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTINSTL303,80867,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,GRUPO NACION GN S.A. (NACION ).,"251,350","286,539",GRUPO NACION GN S.A.,528.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL326,80856,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,DIGITAL,3-101-692294 S.A.,"1,335,250","1,335,250",PUBLISEARCH,2464.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL318,80861,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,RADIO,ANDRES QUINTANA & CIA S.A. (RADIO 94.7),"871,948","871,948",ANDRES QUINTANA & CIA S.A.,1609.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL321,80800,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,RADIO,CARLOS EMILIO BETETA BLANDON,"400,000","400,000",CARLOS EMILIO BETETA BLANDON,738.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL323,80853,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,DIGITAL,GALILEO AGENCIA DIGITAL,"284,550","284,550",GALLILLEO AGENCIA DIGITAL S.A.,525.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL323,80849,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,DIGITAL,GALILEO AGENCIA DIGITAL,"758,800","758,800",GALLILLEO AGENCIA DIGITAL S.A.,1400.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL323,80854,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,DIGITAL,GALILEO AGENCIA DIGITAL,"1,270,590","1,270,590",GALLILLEO AGENCIA DIGITAL S.A.,2345.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL323,80851,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,DIGITAL,GALILEO AGENCIA DIGITAL,"1,355,000","1,544,700",GALLILLEO AGENCIA DIGITAL S.A.,2851.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL329,80860,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,EXTERIORES,GIGANTOGRAFIAS,"54,500","54,500",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL329,80859,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,EXTERIORES,GIGANTOGRAFIAS,"479,600","479,600",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,885.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL312,80787,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,EXTERIORES,GIGANTOGRAFIAS,"545,000","545,000",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,1006.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL312,80786,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,EXTERIORES,GIGANTOGRAFIAS,"598,955","598,955",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,1105.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL312,80789,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,EXTERIORES,INTERAMERICANA DE MEDIOS DE COM (VALLAS),"1,618,650","1,618,650",INTERAMERICANA DE MEDIOS DE COMUNICACION S.A.,2987.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar-16,3,LA TRES,INSTSEGUL312,80788,INSTITUTO NACIONAL DE SEGUROS,SEGURO AUTOMOVILES,EXTERIORES,INTERAMERICANA DE MEDIOS DE COM (VALLAS),"3,041,100","3,041,100",INTERAMERICANA DE MEDIOS DE COMUNICACION S.A.,5613.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
